"SomaSeqid","TargetFullName","Target","UniProt","EntrezGeneSymbol","n_dis","beta_dis","se_dis","p_dis","padj_dis","n_rep","beta_rep","se_rep","p_rep","padj_rep","n_meta","beta_meta","se_meta","p_meta","padj_meta"
"X4562.1","Neurexophilin-1","NXPH1","P58417","NXPH1",330,-0.181963440172432,0.0215211599521917,1.01303621785724e-15,4.35706877300399e-12,297,-0.0959042034214916,0.0302159444930195,0.00166485103181267,0.0387055366909529,627,-0.153,0.0175,2.57039578276886e-18,5.52763613084444e-15
"X12644.63","Adenylosuccinate synthetase isozyme 2","PURA2","P30520","ADSS2",332,0.120171505972372,0.0152490171844988,5.1108306448398e-14,9.70751258258362e-11,297,0.0330172139364204,0.0245414556193379,0.179554819285832,0.492830426131693,629,0.0959,0.013,1.3182567385564e-13,2.96851636102851e-11
"X8394.56","Non-secretory ribonuclease","RNase 2","P10153","RNASE2",332,0.0878868921997798,0.0112120878138025,6.77110852075119e-14,9.70751258258362e-11,297,0.0428841634339939,0.0176131590862616,0.015501829866437,0.125090750948491,629,0.0749,0.0095,2.39883291901949e-15,9.37943671336622e-13
"X5602.62","Inactive ribonuclease-like protein 10","RNS10","Q5GAN6","RNASE10",331,0.0902982518937329,0.0116261785399941,1.10030612827364e-13,1.18310416442623e-10,297,0.0483896280302699,0.015437539672089,0.00189703986223093,0.0402439115158339,628,0.0751,0.0093,6.02559586074357e-16,3.70229825672258e-13
"X12713.365","Regulator of G-protein signaling 19","RGS19","P49795","RGS19",330,-0.0609553483460393,0.00807679185746488,4.70252799259292e-13,4.04511457922843e-10,297,-0.0141048443004825,0.0145331248314564,0.332587997667245,0.666570819183048,627,-0.0499,0.0071,1.58489319246111e-12,2.27220854025841e-10
"X9531.24","Leukocyte-specific transcript 1 protein","LST1","O00453","LST1",332,0.150768001682175,0.0203259729157447,1.07397084996044e-12,7.69858104279975e-10,297,0.160996570092737,0.0459911627329641,0.000536979601452985,0.0214381766460244,629,0.1524,0.0186,2.39883291901949e-16,2.06347607694057e-13
"X4234.8","Interleukin-1 receptor-like 1","IL-1 R4","Q01638","IL1RL1",332,0.42917157703901,0.0585826008367978,1.93274975786556e-12,1.17473413441321e-09,297,0.203873508914418,0.0507690153425088,7.54858528378864e-05,0.0108221551018583,629,0.3005,0.0384,4.78630092322638e-15,1.71549002256639e-12
"X13485.20","Transmembrane protein 87B","TM87B","Q96K49","TMEM87B",329,-0.0831124249529513,0.0113898086471766,2.36439853170552e-12,1.17473413441321e-09,297,-0.0360143834296167,0.0186856309646004,0.0549050538573896,0.261513440355075,626,-0.0704,0.0097,4.67735141287198e-13,8.382203511151e-11
"X3738.54","Macrophage colony-stimulating factor 1","CSF-1","P09603","CSF1",332,0.123606477640209,0.0169597708699357,2.45817419430804e-12,1.17473413441321e-09,297,0.128597792166453,0.0276924787294248,5.18536673728258e-06,0.00278778279213155,629,0.125,0.0145,5.62341325190349e-18,8.06210013214564e-15
"X3514.49","Myeloblastin","Proteinase-3","P24158","PRTN3",329,0.260165146470755,0.0359252805041634,3.3573827935973e-12,1.4440103395262e-09,297,0.062993675932142,0.033392767493167,0.0602303240812755,0.274567611619712,626,0.1544,0.0245,2.75422870333816e-10,1.24694080558499e-08
