"SomaSeqid","TargetFullName","Target","UniProt","EntrezGeneSymbol","n_dis","beta_dis","se_dis","p_dis","padj_dis","n_rep","beta_rep","se_rep","p_rep","padj_rep","n_meta","beta_meta","se_meta","p_meta","padj_meta"
"X5272.55","SHC-transforming protein 1","SHC1","P29353","SHC1",482,0.703172902446244,0.0341716156166211,1.47659224760264e-67,6.35082325693895e-64,373,-0.0168655600596447,0.0309199607078408,0.585769466406161,0.708632046703188,855,0.3073,0.0229,5.88843655355593e-41,4.77852181449888e-39
"X13950.9","Collagen type IV alpha-3-binding protein","C43BP","Q9Y5P4","CERT1",482,0.720374672465433,0.0368099213346883,8.12126134161832e-63,1.74647725151502e-59,373,0.0232301750397031,0.0194213419695216,0.232423547833759,0.370791424047848,855,0.175,0.0172,2.18776162394955e-24,4.12700120377501e-23
"X9831.12","Ras GTPase-activating protein-binding protein 2","G3BP2","Q9UN86","G3BP2",482,0.661677290542774,0.0350777735960989,1.66880578205318e-59,2.39251122287024e-56,373,0.0914261184054607,0.0237611851924931,0.000140580815696663,0.000659365418005832,855,0.2708,0.0197,4.16869383470333e-43,4.26894099596643e-41
"X8963.8","Vesicle transport through interaction with t-SNAREs homolog 1B","Vti1-rp1","Q9UEU0","VTI1B",482,0.794073596946826,0.0429104082914057,7.81422952226695e-58,8.40225029381754e-55,373,-0.0255981716296321,0.0256546842289876,0.319035136054882,0.465615921334254,855,0.1902,0.022,5.62341325190349e-18,5.77238672945988e-17
"X12720.71","Ubiquilin-4","UBQL4","Q9NRR5","UBQLN4",482,0.601859490640067,0.0330270957263697,1.61078552862406e-56,1.38559771172242e-53,373,0.0971830063756364,0.0226960596772571,2.36844126342011e-05,0.000134566259893922,855,0.2591,0.0187,1.28824955169313e-43,1.35140520044687e-41
"X5467.15","Heat shock protein HSP 90-beta","HSP 90b","P08238","HSP90AB1",482,0.483796623308674,0.0269575417621525,3.10365015815465e-55,2.22479988837052e-52,373,0.176911568576703,0.0232871179022752,2.5470460432946e-13,5.98625411596179e-12,855,0.3081,0.0176,1.99526231496887e-68,1.22594617381159e-65
"X15596.7","Protein HEXIM1","HEXI1","O94992","HEXIM1",482,0.75799259195596,0.0426847392567173,2.32456706718904e-54,1.42828042228287e-51,373,-0.00721705102814888,0.0374989298680499,0.847488203916596,0.903357314757194,855,0.3261,0.0282,5.49540873857623e-31,1.98619772979969e-29
"X19121.3","Ubiquilin-2","UBQL2","Q9UHD9","UBQLN2",482,0.534267653424305,0.0302749457082966,7.56416318417284e-54,4.03038674108965e-51,373,0.115100302638946,0.0211226051852233,9.29979606405973e-08,8.58335254753667e-07,855,0.2523,0.0173,4.57088189614871e-48,6.55312101177854e-46
"X8040.9","LEM domain-containing protein 1","LEMD1","Q68G75","LEMD1",482,0.42525658273673,0.0241116608928901,8.43373184603739e-54,4.03038674108965e-51,373,0.119428154404738,0.0217987760150702,7.97408039619358e-08,7.47200866754435e-07,855,0.257,0.0162,7.24435960074989e-57,1.94737441517658e-54
"X8975.26","Cell differentiation protein RCD1 homolog","RCD1","Q92600","CNOT9",482,0.76567851617544,0.0436195183571706,2.04845618908835e-53,8.81041006926899e-51,373,-0.00573250565046501,0.0319551555650763,0.857728755383169,0.909988006142824,855,0.2637,0.0258,1.47910838816821e-24,2.84002016853191e-23
"X7167.102","Vesicle-associated membrane protein-associated protein A","VAPA","Q9P0L0","VAPA",482,0.725580612914909,0.0418836847502807,2.3543034023594e-52,9.20532630322525e-50,373,-0.0628557541124155,0.0347550213810788,0.0713412348566606,0.14737687373607,855,0.2587,0.0267,3.98107170553499e-22,5.98691937255454e-21
"X6398.12","Lon protease homolog, mitochondrial","LONM","P36776","LONP1",482,0.611946989681422,0.0353994644891644,3.47840470569534e-52,1.24671821993297e-49,373,0.122797342875521,0.0252710182303559,1.74921481527889e-06,1.29713326215767e-05,855,0.2879,0.0206,1.58489319246112e-44,1.89350711688203e-42
"X14326.4","Ubiquitin-conjugating enzyme E2 E1","UB2E1","P51965","UBE2E1",482,0.475178863534779,0.0275327888344322,4.69268685629501e-52,1.5525573976096e-49,373,0.0882893253689699,0.0216181680031609,5.43703184756099e-05,0.000282765102495282,855,0.2358,0.017,9.54992586021429e-44,1.02685577811954e-41
"X10447.18","Polyadenylate-binding protein 3","PABP3","Q9H361","PABPC3",482,0.373309723220651,0.0217597350591934,1.39217684972904e-51,4.27696616477472e-49,373,0.0638696079995132,0.0186104878606821,0.000667635720250422,0.00270386180112718,855,0.1946,0.0141,4.46683592150962e-43,4.46787472056113e-41
"X19620.16","Disks large homolog 2","DLG2","Q15700","DLG2",482,0.660755449883166,0.0386967480228671,3.27180081600104e-51,9.38134353974698e-49,373,-0.0347531440006406,0.0280884477142455,0.216775935250978,0.351168850287931,855,0.2052,0.0227,1.73780082874937e-19,2.00382878403513e-18
"X2625.53","Hsp90alpha","HSP 90a","P07900","HSP90AA1",482,0.751740712379811,0.0442613914280225,8.56793302196931e-51,2.19196955604852e-48,373,0.23574341999998,0.029200398599015,9.90395590351964e-15,2.91759687267383e-13,855,0.3922,0.0244,2.88403150312661e-58,1.0336849579123e-55
"X12432.23","Calcyclin-binding protein","CYBP","Q9HB71","CACYBP",482,0.800185936761859,0.0471167015219356,8.66391128872933e-51,2.19196955604852e-48,373,0.0558267453029069,0.0459159470016212,0.22482487014357,0.361079823184277,855,0.4184,0.0329,4.36515832240167e-37,2.68207799209279e-35
"X11454.87","Eukaryotic translation initiation factor 3 subunit G","EIF3G","O75821","EIF3G",482,0.569834038945661,0.0336093945775986,1.17005694076206e-50,2.79578605678757e-48,373,-0.0315517996539307,0.0300345510561093,0.294171827533825,0.437948435521973,855,0.2355,0.0224,7.41310241300919e-26,1.66061216033086e-24
"X11358.15","Growth factor receptor-bound protein 10","GRB10","Q13322","GRB10",482,0.953598751189928,0.0563823416719202,1.81366450009806e-50,4.10556369206408e-48,373,-0.00156128776686252,0.0509768355273651,0.97558334159742,0.98497275873486,855,0.428,0.0378,1.0471285480509e-29,3.33607398901253e-28
"X12656.1","Kinesin light chain 1","KLC1","Q07866","KLC1",482,0.902721788761127,0.053919803829223,1.10094400817619e-49,2.3675800895829e-47,373,-0.00943299052948587,0.0517371724516204,0.855428188366932,0.909117034387491,855,0.4278,0.0373,2.08929613085404e-30,7.30574199902702e-29
"X3379.29","Protein kinase C iota type","KPCI","P41743","PRKCI",482,0.608897439499991,0.0365054311714523,2.12014079253721e-49,4.34225026128692e-47,373,0.0280225072073729,0.0334151350098161,0.402230021760886,0.54729241492995,855,0.2928,0.0246,1.47910838816821e-32,5.94546278272101e-31
"X8887.21","Nuclear migration protein nudC","NUDC","Q9Y266","NUDC",482,0.521443089670566,0.0313115483844139,2.79421786374125e-49,5.46269592361414e-47,373,0.0828560752496346,0.0239618105376019,0.00060842213847008,0.00248511264725528,855,0.2448,0.019,6.91830970918942e-38,4.57779231680364e-36
"X18181.2","Protein TSSC4","TSSC4","Q9Y5U2","TSSC4",482,0.567428280823761,0.0344582760937384,1.97382562028211e-48,3.69105390992755e-46,373,0.0131240448041711,0.0253567597707907,0.605066106399639,0.724495914149456,855,0.2078,0.0204,2.51188643150957e-24,4.6972276269229e-23
"X5707.55","ETS domain-containing protein Elk-3","ELK3","P41970","ELK3",482,0.596831494068505,0.0362593781251137,2.12524584201675e-48,3.80861765271418e-46,373,0.161722831187412,0.0242945415596775,1.02229448363056e-10,1.61650315224082e-09,855,0.2965,0.0202,7.24435960074989e-49,1.19838425549328e-46
"X6284.7","ALK and LTK ligand 2","F150B","Q6UX46","ALKAL2",482,0.505433587879011,0.0308154827444977,3.90667205688013e-48,6.72103860665658e-46,373,0.157678436645036,0.0211778923929826,6.95392784890024e-13,1.59940340524706e-11,855,0.2692,0.0175,1.09647819614318e-53,2.4820803797957e-51
"X6609.22","2',3'-cyclic-nucleotide 3'-phosphodiesterase","CN37","P09543","CNP",482,0.643703928780953,0.0396357576790967,2.11317266248138e-47,3.49567523897401e-45,373,0.135920765526922,0.0287663973933494,3.28338343633158e-06,2.28878965310569e-05,855,0.3111,0.0233,1e-40,7.96481481481481e-39
"X12351.25","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","STAT1",482,0.712750349828561,0.0440309021931915,3.67358315243327e-47,5.85188190319092e-45,373,0.456591463080671,0.0421425205961936,6.41415203273115e-24,7.88207654079334e-22,855,0.5791,0.0304,1.17489755493951e-80,1.68441146126495e-77
"X10852.114","Heterogeneous nuclear ribonucleoprotein D-like","HNRDL","O14979","HNRNPDL",482,0.60992940069373,0.0377292993406053,4.60032740949761e-47,7.06643149580329e-45,373,0.105838390022786,0.0235873174776116,9.67510583390872e-06,6.08371786427506e-05,855,0.2475,0.02,3.63078054770103e-35,1.83717495713672e-33
"X17799.9","6-phosphogluconolactonase","6PGL","O95336","PGLS",482,0.559609673057229,0.0348100419417219,1.17312049094643e-46,1.73985904536572e-44,373,0.0344320792064972,0.0305781983093796,0.260887077603382,0.403044296254363,855,0.2632,0.023,2.18776162394955e-30,7.58835705210244e-29
